Proteome Name              |  mcrA Gene Matches   |  hsp70 Gene Matches   |
----------------------------------------------------------------------------
mcrAgeneProteome_01.output |  0                   |  4                    |
mcrAgeneProteome_02.output |  0                   |  2                    |
mcrAgeneProteome_03.output |  1                   |  3                    |
mcrAgeneProteome_04.output |  0                   |  4                    |
mcrAgeneProteome_05.output |  1                   |  2                    |
mcrAgeneProteome_06.output |  0                   |  0                    |
mcrAgeneProteome_07.output |  1                   |  2                    |
mcrAgeneProteome_08.output |  0                   |  5                    |
mcrAgeneProteome_09.output |  0                   |  2                    |
mcrAgeneProteome_10.output |  0                   |  3                    |
mcrAgeneProteome_11.output |  0                   |  6                    |
mcrAgeneProteome_12.output |  0                   |  6                    |
mcrAgeneProteome_13.output |  0                   |  3                    |
mcrAgeneProteome_14.output |  0                   |  1                    |
mcrAgeneProteome_15.output |  1                   |  1                    |
mcrAgeneProteome_16.output |  1                   |  1                    |
mcrAgeneProteome_17.output |  0                   |  3                    |
mcrAgeneProteome_18.output |  0                   |  8                    |
mcrAgeneProteome_19.output |  2                   |  1                    |
mcrAgeneProteome_20.output |  0                   |  3                    |
mcrAgeneProteome_21.output |  0                   |  0                    |
mcrAgeneProteome_22.output |  0                   |  0                    |
mcrAgeneProteome_23.output |  2                   |  2                    |
mcrAgeneProteome_24.output |  1                   |  2                    |
mcrAgeneProteome_25.output |  0                   |  0                    |
mcrAgeneProteome_26.output |  0                   |  1                    |
mcrAgeneProteome_27.output |  0                   |  1                    |
mcrAgeneProteome_28.output |  0                   |  1                    |
mcrAgeneProteome_29.output |  1                   |  1                    |
mcrAgeneProteome_30.output |  0                   |  1                    |
mcrAgeneProteome_31.output |  0                   |  7                    |
mcrAgeneProteome_32.output |  0                   |  4                    |
mcrAgeneProteome_33.output |  0                   |  0                    |
mcrAgeneProteome_34.output |  0                   |  1                    |
mcrAgeneProteome_35.output |  0                   |  1                    |
mcrAgeneProteome_36.output |  0                   |  3                    |
mcrAgeneProteome_37.output |  0                   |  2                    |
mcrAgeneProteome_38.output |  1                   |  1                    |
mcrAgeneProteome_39.output |  1                   |  1                    |
mcrAgeneProteome_40.output |  0                   |  2                    |
mcrAgeneProteome_41.output |  0                   |  2                    |
mcrAgeneProteome_42.output |  1                   |  3                    |
mcrAgeneProteome_43.output |  0                   |  3                    |
mcrAgeneProteome_44.output |  1                   |  1                    |
mcrAgeneProteome_45.output |  1                   |  3                    |
mcrAgeneProteome_46.output |  0                   |  2                    |
mcrAgeneProteome_47.output |  0                   |  2                    |
mcrAgeneProteome_48.output |  1                   |  1                    |
mcrAgeneProteome_49.output |  0                   |  3                    |
mcrAgeneProteome_50.output |  1                   |  3                    |
Proteome Name              |  mcrA Gene Matches   |  hsp70 Gene Matches   |
----------------------------------------------------------------------------
mcrAgeneProteome_01.output |  0                   |  4                    |
mcrAgeneProteome_02.output |  0                   |  2                    |
mcrAgeneProteome_03.output |  1                   |  3                    |
mcrAgeneProteome_04.output |  0                   |  4                    |
mcrAgeneProteome_05.output |  1                   |  2                    |
mcrAgeneProteome_06.output |  0                   |  0                    |
mcrAgeneProteome_07.output |  1                   |  2                    |
mcrAgeneProteome_08.output |  0                   |  5                    |
mcrAgeneProteome_09.output |  0                   |  2                    |
mcrAgeneProteome_10.output |  0                   |  3                    |
mcrAgeneProteome_11.output |  0                   |  6                    |
mcrAgeneProteome_12.output |  0                   |  6                    |
mcrAgeneProteome_13.output |  0                   |  3                    |
mcrAgeneProteome_14.output |  0                   |  1                    |
mcrAgeneProteome_15.output |  1                   |  1                    |
mcrAgeneProteome_16.output |  1                   |  1                    |
mcrAgeneProteome_17.output |  0                   |  3                    |
mcrAgeneProteome_18.output |  0                   |  8                    |
mcrAgeneProteome_19.output |  2                   |  1                    |
mcrAgeneProteome_20.output |  0                   |  3                    |
mcrAgeneProteome_21.output |  0                   |  0                    |
mcrAgeneProteome_22.output |  0                   |  0                    |
mcrAgeneProteome_23.output |  2                   |  2                    |
mcrAgeneProteome_24.output |  1                   |  2                    |
mcrAgeneProteome_25.output |  0                   |  0                    |
mcrAgeneProteome_26.output |  0                   |  1                    |
mcrAgeneProteome_27.output |  0                   |  1                    |
mcrAgeneProteome_28.output |  0                   |  1                    |
mcrAgeneProteome_29.output |  1                   |  1                    |
mcrAgeneProteome_30.output |  0                   |  1                    |
mcrAgeneProteome_31.output |  0                   |  7                    |
mcrAgeneProteome_32.output |  0                   |  4                    |
mcrAgeneProteome_33.output |  0                   |  0                    |
mcrAgeneProteome_34.output |  0                   |  1                    |
mcrAgeneProteome_35.output |  0                   |  1                    |
mcrAgeneProteome_36.output |  0                   |  3                    |
mcrAgeneProteome_37.output |  0                   |  2                    |
mcrAgeneProteome_38.output |  1                   |  1                    |
mcrAgeneProteome_39.output |  1                   |  1                    |
mcrAgeneProteome_40.output |  0                   |  2                    |
mcrAgeneProteome_41.output |  0                   |  2                    |
mcrAgeneProteome_42.output |  1                   |  3                    |
mcrAgeneProteome_43.output |  0                   |  3                    |
mcrAgeneProteome_44.output |  1                   |  1                    |
mcrAgeneProteome_45.output |  1                   |  3                    |
mcrAgeneProteome_46.output |  0                   |  2                    |
mcrAgeneProteome_47.output |  0                   |  2                    |
mcrAgeneProteome_48.output |  1                   |  1                    |
mcrAgeneProteome_49.output |  0                   |  3                    |
mcrAgeneProteome_50.output |  1                   |  3                    |
