Proteomes hsp70 mcrA
proteome1 4 0
proteome2 2 0
proteome3 3 1
proteome4 4 0
proteome5 2 1
proteome6 0 0
proteome7 2 1
proteome8 5 0
proteome9 2 0
proteome10 4 0
proteome11 6 0
proteome12 6 0
proteome13 3 0
proteome14 1 0
proteome15 1 1
proteome16 1 1
proteome17 4 0
proteome18 8 0
proteome19 1 2
proteome20 3 0
proteome21 5 0
proteome22 8 0
proteome23 2 2
proteome24 2 1
proteome25 5 0
proteome26 1 0
proteome27 1 0
proteome28 1 0
proteome29 1 1
proteome30 1 0
proteome31 7 0
proteome32 4 0
proteome33 0 0
proteome34 1 0
proteome35 1 0
proteome36 3 0
proteome37 2 0
proteome38 1 1
proteome39 1 1
proteome40 2 0
proteome41 2 0
proteome42 3 1
proteome43 3 0
proteome44 1 1
proteome45 3 1
proteome46 2 0
proteome47 2 0
proteome48 1 1
proteome49 3 0
proteome50 3 1
